home,away,home_score,away_score
Mexico,South Africa,2,0
South Korea,Czechia,2,1
Canada,Bosnia and Herzegovina,1,1
USA,Paraguay,4,1
Qatar,Switzerland,1,1
Brazil,Morocco,1,1
Haiti,Scotland,0,1
Australia,Turkey,2,0
Germany,Curacao,7,1
Ivory Coast,Ecuador,1,0
Netherlands,Japan,2,2
Sweden,Tunisia,5,1
Belgium,Egypt,1,1
Iran,New Zealand,2,2
Spain,Cape Verde,0,0
Saudi Arabia,Uruguay,1,1
France,Senegal,3,1
Iraq,Norway,1,4
Argentina,Algeria,3,0
Austria,Jordan,3,1
England,Croatia,4,2
Ghana,Panama,1,0
Portugal,DR Congo,1,1
Uzbekistan,Colombia,1,3
Czechia,South Africa,1,1
Switzerland,Bosnia and Herzegovina,4,1
Canada,Qatar,6,0
Mexico,South Korea,1,0
Scotland,Morocco,0,1
USA,Australia,2,0
Brazil,Haiti,3,0
Turkey,Paraguay,0,1
