team,group,elo,p_r16,p_qf,p_sf,p_final,p_winner
Spain,E,1985.7307357150391,0.822,0.554,0.369,0.245,0.158
Argentina,C,1954.465726375927,0.836,0.545,0.355,0.219,0.124
France,D,1960.7811441463175,0.834,0.529,0.317,0.195,0.12
England,B,1911.5636232279585,0.75,0.431,0.239,0.133,0.066
Ecuador,A,1882.0376204992947,0.677,0.349,0.185,0.1,0.048
Morocco,F,1891.1433196169503,0.646,0.372,0.183,0.095,0.048
Japan,E,1885.6863613134192,0.518,0.286,0.164,0.083,0.047
Brazil,G,1877.9286672026703,0.796,0.437,0.227,0.101,0.043
Portugal,H,1879.6074074546705,0.717,0.376,0.203,0.095,0.042
Netherlands,A,1877.8739906942776,0.637,0.335,0.173,0.083,0.036
Croatia,F,1865.9906476978376,0.581,0.328,0.158,0.085,0.035
Germany,E,1876.4559788595532,0.548,0.297,0.145,0.058,0.029
Uruguay,H,1836.558810166204,0.573,0.25,0.117,0.05,0.025
Australia,D,1849.830783894287,0.529,0.261,0.114,0.05,0.025
Mexico,C,1837.369303473272,0.6,0.285,0.14,0.069,0.024
Senegal,A,1854.1551947559549,0.56,0.286,0.135,0.061,0.024
USA,B,1827.5787774289845,0.537,0.265,0.098,0.04,0.016
Belgium,F,1811.195200796678,0.418,0.159,0.064,0.029,0.015
South Korea,H,1816.986867104238,0.534,0.243,0.095,0.041,0.015
Switzerland,G,1799.5141411510645,0.622,0.263,0.117,0.037,0.014
Denmark,D,1801.1849932710734,0.403,0.169,0.067,0.026,0.013
Iran,B,1818.5145049182047,0.492,0.201,0.094,0.034,0.013
Tunisia,D,1745.7799762012955,0.234,0.091,0.036,0.011,0.005
Canada,F,1784.005405546822,0.355,0.15,0.056,0.023,0.004
Poland,C,1731.471360910204,0.294,0.098,0.026,0.006,0.003
Saudi Arabia,C,1721.9362497217153,0.27,0.093,0.026,0.008,0.003
Serbia,G,1715.7095711255472,0.356,0.123,0.039,0.008,0.002
Cameroon,G,1663.9476633399258,0.226,0.058,0.017,0.005,0.002
Ghana,H,1670.0722657333902,0.176,0.044,0.01,0.003,0.001
Costa Rica,E,1694.843888057219,0.112,0.036,0.012,0.006,0.0
Wales,B,1700.2380207702226,0.221,0.056,0.013,0.0,0.0
Qatar,A,1672.463588762103,0.126,0.03,0.006,0.001,0.0
